"Price","Bedrooms","Bathrooms","SqFt","City","State","Year_Built","Type","Garage","Lot_Area","Latitude","Longitude"
982112,4,1,1561,"Adelaide","SA",2021,"Townhouse",0,1357,-34.9285,138.6007
571388,3,2,3735,"Melbourne","VIC",1999,"House",1,8397,-37.8136,144.9631
866821,5,1,2032,"Sydney","NSW",1976,"Townhouse",0,3478,-33.8688,151.2093
1230977,4,3,3861,"Brisbane","QLD",1978,"House",0,7619,-27.4698,153.0251
241787,4,2,3150,"Perth","WA",1992,"Apartment",0,8324,-31.9505,115.8605
631871,4,2,1923,"Brisbane","QLD",2002,"House",1,6638,-27.4698,153.0251
550777,4,1,829,"Adelaide","SA",2022,"Townhouse",0,2752,-34.9285,138.6007
1509971,1,1,2447,"Brisbane","QLD",1967,"Apartment",1,2792,-27.4698,153.0251
935088,4,2,3652,"Melbourne","VIC",1985,"House",0,1645,-37.8136,144.9631
999053,1,1,3114,"Sydney","NSW",1962,"House",0,4195,-33.8688,151.2093
679189,4,3,2891,"Sydney","NSW",1999,"Apartment",0,2827,-33.8688,151.2093
977320,1,1,2218,"Adelaide","SA",1972,"Apartment",0,8425,-34.9285,138.6007
901416,4,3,1771,"Brisbane","QLD",1995,"Apartment",1,8587,-27.4698,153.0251
911184,4,3,3855,"Sydney","NSW",1955,"House",0,5090,-33.8688,151.2093
945381,3,2,1672,"Brisbane","QLD",1989,"House",0,9937,-27.4698,153.0251
1453282,5,3,1842,"Melbourne","VIC",1993,"Townhouse",0,1298,-37.8136,144.9631
646827,5,2,2211,"Melbourne","VIC",1988,"House",1,5629,-37.8136,144.9631
1476267,4,2,810,"Melbourne","VIC",2013,"Townhouse",1,7482,-37.8136,144.9631
1813301,3,2,1359,"Adelaide","SA",1991,"House",0,9376,-34.9285,138.6007
1731191,5,1,1233,"Adelaide","SA",1964,"Townhouse",0,7669,-34.9285,138.6007
333700,1,1,1465,"Brisbane","QLD",1966,"House",0,7456,-27.4698,153.0251
1726874,3,3,2231,"Brisbane","QLD",1995,"House",0,8726,-27.4698,153.0251
199634,3,3,3578,"Brisbane","QLD",1991,"House",0,9936,-27.4698,153.0251
1765342,3,2,1662,"Adelaide","SA",2014,"Townhouse",0,3538,-34.9285,138.6007
983015,5,1,2602,"Perth","WA",1989,"House",0,8683,-31.9505,115.8605
1358342,4,1,2890,"Melbourne","VIC",1995,"Apartment",1,3883,-37.8136,144.9631
609841,1,2,964,"Sydney","NSW",2000,"Townhouse",1,7047,-33.8688,151.2093
942430,4,2,2724,"Brisbane","QLD",1984,"House",0,3692,-27.4698,153.0251
671877,2,1,2189,"Perth","WA",2016,"Townhouse",1,5367,-31.9505,115.8605
402195,5,1,2566,"Perth","WA",1970,"House",0,3546,-31.9505,115.8605
1617926,1,2,1389,"Perth","WA",2012,"Townhouse",1,3267,-31.9505,115.8605
1712788,4,2,2845,"Melbourne","VIC",2013,"Apartment",0,1862,-37.8136,144.9631
879808,4,3,2635,"Melbourne","VIC",2019,"Townhouse",1,5783,-37.8136,144.9631
1874185,5,1,1440,"Melbourne","VIC",1982,"House",0,1079,-37.8136,144.9631
639268,4,3,3674,"Melbourne","VIC",2015,"House",0,9026,-37.8136,144.9631
1183917,2,2,2619,"Sydney","NSW",1980,"Apartment",0,3170,-33.8688,151.2093
520139,4,3,1271,"Brisbane","QLD",1975,"Apartment",0,6751,-27.4698,153.0251
1961716,4,2,1180,"Brisbane","QLD",1989,"House",0,4335,-27.4698,153.0251
1456872,1,3,3372,"Adelaide","SA",2021,"Apartment",0,3877,-34.9285,138.6007
877191,2,2,3953,"Perth","WA",1999,"House",1,6334,-31.9505,115.8605
1862030,1,3,3253,"Brisbane","QLD",1958,"House",1,9929,-27.4698,153.0251
1466299,4,3,2960,"Adelaide","SA",1950,"House",0,6565,-34.9285,138.6007
1166930,1,2,1913,"Adelaide","SA",1955,"House",0,9989,-34.9285,138.6007
677559,4,2,1638,"Melbourne","VIC",1978,"House",0,5071,-37.8136,144.9631
1770580,3,2,1662,"Melbourne","VIC",1984,"Townhouse",0,5127,-37.8136,144.9631
663284,1,2,3751,"Brisbane","QLD",2014,"Apartment",1,8459,-27.4698,153.0251
705829,4,1,1019,"Brisbane","QLD",1965,"Apartment",0,1176,-27.4698,153.0251
612299,2,3,2768,"Sydney","NSW",1962,"Apartment",1,5187,-33.8688,151.2093
166385,1,2,1489,"Melbourne","VIC",1967,"Apartment",0,2235,-37.8136,144.9631
917916,1,3,2342,"Melbourne","VIC",2015,"Apartment",0,7627,-37.8136,144.9631
1140310,1,3,1925,"Adelaide","SA",2016,"Townhouse",1,9692,-34.9285,138.6007
1448522,4,3,2950,"Adelaide","SA",2018,"House",1,9548,-34.9285,138.6007
1217162,1,3,2174,"Perth","WA",2022,"Townhouse",0,1767,-31.9505,115.8605
834424,3,2,1674,"Sydney","NSW",1978,"Townhouse",0,7874,-33.8688,151.2093
1813465,3,1,3538,"Melbourne","VIC",1971,"Townhouse",0,2877,-37.8136,144.9631
837969,1,2,817,"Brisbane","QLD",1991,"Townhouse",0,8828,-27.4698,153.0251
270027,3,1,2346,"Adelaide","SA",2020,"Apartment",1,9969,-34.9285,138.6007
633761,2,3,3576,"Brisbane","QLD",1996,"Townhouse",1,5036,-27.4698,153.0251
407434,2,1,2683,"Adelaide","SA",1955,"Apartment",0,5806,-34.9285,138.6007
715409,2,3,2236,"Perth","WA",2010,"Apartment",1,8730,-31.9505,115.8605
1780590,5,2,1291,"Perth","WA",1963,"Townhouse",0,1156,-31.9505,115.8605
1938851,3,1,1710,"Brisbane","QLD",1978,"House",0,5716,-27.4698,153.0251
106515,3,2,3472,"Sydney","NSW",1987,"House",0,7925,-33.8688,151.2093
647784,2,2,2048,"Perth","WA",1985,"Apartment",0,2466,-31.9505,115.8605
722444,2,3,1352,"Brisbane","QLD",2013,"Townhouse",1,1302,-27.4698,153.0251
1325225,1,1,2908,"Perth","WA",2000,"Townhouse",0,6042,-31.9505,115.8605
1473547,3,3,2875,"Adelaide","SA",2009,"Townhouse",0,5554,-34.9285,138.6007
1539822,3,2,1321,"Adelaide","SA",1950,"Townhouse",1,6650,-34.9285,138.6007
1631920,1,3,3267,"Adelaide","SA",1971,"House",1,5328,-34.9285,138.6007
1794143,4,2,3612,"Brisbane","QLD",2007,"Apartment",0,5134,-27.4698,153.0251
1358111,2,3,3578,"Sydney","NSW",1960,"Townhouse",1,3339,-33.8688,151.2093
1637850,2,2,2567,"Perth","WA",2010,"House",1,2963,-31.9505,115.8605
1849535,1,1,944,"Perth","WA",1994,"Apartment",0,8121,-31.9505,115.8605
1689550,4,1,2681,"Brisbane","QLD",1997,"Townhouse",1,9246,-27.4698,153.0251
1962708,2,3,2597,"Brisbane","QLD",2003,"Townhouse",1,1177,-27.4698,153.0251
1403566,4,2,1392,"Brisbane","QLD",1984,"Apartment",1,8408,-27.4698,153.0251
275596,5,3,3388,"Melbourne","VIC",1995,"Townhouse",1,5820,-37.8136,144.9631
1766096,1,1,3121,"Sydney","NSW",1977,"Apartment",1,6324,-33.8688,151.2093
1936294,3,1,3069,"Perth","WA",2003,"House",1,8482,-31.9505,115.8605
1310179,4,1,2868,"Perth","WA",2011,"Apartment",1,3326,-31.9505,115.8605
860767,4,3,1368,"Melbourne","VIC",1953,"Apartment",1,9481,-37.8136,144.9631
1551243,2,2,1972,"Sydney","NSW",1960,"Townhouse",1,4374,-33.8688,151.2093
182039,5,1,1891,"Adelaide","SA",1995,"Apartment",1,1458,-34.9285,138.6007
712267,4,3,1342,"Adelaide","SA",1981,"Townhouse",0,7094,-34.9285,138.6007
523902,3,3,3602,"Adelaide","SA",1951,"Apartment",1,4235,-34.9285,138.6007
277140,4,1,1891,"Melbourne","VIC",1955,"Townhouse",0,5232,-37.8136,144.9631
1030459,4,1,1767,"Perth","WA",1980,"Townhouse",1,9668,-31.9505,115.8605
1363638,2,3,2470,"Adelaide","SA",1976,"Apartment",1,8273,-34.9285,138.6007
356372,3,1,1817,"Melbourne","VIC",1982,"Apartment",1,1072,-37.8136,144.9631
726215,5,2,2828,"Adelaide","SA",1994,"Apartment",1,7523,-34.9285,138.6007
420892,2,2,3068,"Brisbane","QLD",1962,"House",0,9154,-27.4698,153.0251
1851710,5,3,2922,"Melbourne","VIC",1985,"Apartment",1,4783,-37.8136,144.9631
998867,5,2,2271,"Sydney","NSW",2020,"Apartment",1,8793,-33.8688,151.2093
1159775,3,2,2677,"Brisbane","QLD",2004,"Apartment",1,1448,-27.4698,153.0251
632272,4,1,2139,"Melbourne","VIC",1954,"Townhouse",1,2985,-37.8136,144.9631
244715,2,1,1430,"Adelaide","SA",1962,"House",0,2623,-34.9285,138.6007
1218772,2,3,1118,"Adelaide","SA",2010,"Apartment",1,3074,-34.9285,138.6007
792406,1,2,3405,"Sydney","NSW",2015,"Apartment",0,8211,-33.8688,151.2093
1595992,4,2,2083,"Sydney","NSW",2016,"Apartment",1,5016,-33.8688,151.2093
1943494,5,2,2033,"Brisbane","QLD",1999,"Apartment",0,7035,-27.4698,153.0251
1257454,1,1,3946,"Sydney","NSW",1999,"House",1,7804,-33.8688,151.2093
1220844,3,1,1633,"Adelaide","SA",1963,"House",1,2766,-34.9285,138.6007
1656027,5,3,2516,"Sydney","NSW",1955,"Apartment",0,9401,-33.8688,151.2093
508496,4,3,3206,"Adelaide","SA",1952,"Townhouse",1,2100,-34.9285,138.6007
755087,4,1,2589,"Perth","WA",1959,"Townhouse",1,9894,-31.9505,115.8605
600580,3,1,1998,"Perth","WA",1990,"Apartment",1,6878,-31.9505,115.8605
719663,4,1,2798,"Adelaide","SA",1955,"House",0,8627,-34.9285,138.6007
1978166,2,2,3381,"Brisbane","QLD",1993,"House",0,2850,-27.4698,153.0251
1009383,3,3,2651,"Brisbane","QLD",2002,"House",0,4259,-27.4698,153.0251
205615,2,1,1453,"Brisbane","QLD",1979,"House",1,3418,-27.4698,153.0251
1232656,5,3,3402,"Perth","WA",1992,"Townhouse",0,7133,-31.9505,115.8605
714193,4,2,2901,"Brisbane","QLD",1994,"Apartment",1,6156,-27.4698,153.0251
703391,4,1,1265,"Perth","WA",1960,"Apartment",0,2556,-31.9505,115.8605
1829026,5,1,1240,"Perth","WA",1995,"House",1,9164,-31.9505,115.8605
775733,2,1,1298,"Melbourne","VIC",1976,"Apartment",1,4680,-37.8136,144.9631
521806,2,1,2646,"Melbourne","VIC",1990,"House",0,9736,-37.8136,144.9631
599339,5,2,3449,"Adelaide","SA",2006,"Townhouse",0,2648,-34.9285,138.6007
845327,3,2,2569,"Melbourne","VIC",1995,"Townhouse",0,1882,-37.8136,144.9631
720409,1,2,1304,"Sydney","NSW",2002,"Townhouse",1,6630,-33.8688,151.2093
828250,2,1,3106,"Adelaide","SA",1968,"Apartment",1,8382,-34.9285,138.6007
1121178,1,2,1532,"Brisbane","QLD",2017,"Townhouse",0,9981,-27.4698,153.0251
1538306,3,3,3909,"Brisbane","QLD",2003,"Townhouse",1,1042,-27.4698,153.0251
1285569,3,1,2684,"Adelaide","SA",1959,"Apartment",1,5656,-34.9285,138.6007
655003,5,2,2986,"Melbourne","VIC",1962,"Apartment",1,5025,-37.8136,144.9631
1456067,2,3,3819,"Adelaide","SA",1986,"House",0,4280,-34.9285,138.6007
157154,2,3,2643,"Adelaide","SA",1981,"House",1,3577,-34.9285,138.6007
1853162,3,2,1435,"Sydney","NSW",1957,"House",1,6288,-33.8688,151.2093
399795,1,3,3496,"Adelaide","SA",2019,"Apartment",0,1599,-34.9285,138.6007
952387,1,2,3359,"Melbourne","VIC",1996,"House",0,6790,-37.8136,144.9631
977580,1,2,1740,"Adelaide","SA",1957,"House",0,8302,-34.9285,138.6007
812068,4,2,3107,"Sydney","NSW",1951,"Apartment",1,2268,-33.8688,151.2093
1978401,2,1,1832,"Melbourne","VIC",2004,"Apartment",0,6093,-37.8136,144.9631
677286,1,2,1948,"Melbourne","VIC",1969,"House",1,5641,-37.8136,144.9631
701765,4,2,2853,"Sydney","NSW",1957,"Townhouse",1,1324,-33.8688,151.2093
954233,1,3,3283,"Brisbane","QLD",1957,"Apartment",1,1038,-27.4698,153.0251
159787,4,3,1033,"Sydney","NSW",2008,"Apartment",1,6267,-33.8688,151.2093
1155345,1,3,1374,"Sydney","NSW",1965,"Apartment",1,2544,-33.8688,151.2093
257698,4,2,1675,"Brisbane","QLD",1967,"House",0,5100,-27.4698,153.0251
1243874,4,1,1216,"Sydney","NSW",1965,"Townhouse",1,3472,-33.8688,151.2093
482291,5,2,2761,"Adelaide","SA",2001,"Townhouse",0,9133,-34.9285,138.6007
260080,4,2,1912,"Brisbane","QLD",1994,"House",1,9715,-27.4698,153.0251
1023056,2,2,3938,"Brisbane","QLD",1990,"House",0,1775,-27.4698,153.0251
945913,1,1,889,"Brisbane","QLD",2019,"House",0,6014,-27.4698,153.0251
1380101,4,1,2664,"Adelaide","SA",1985,"House",0,6686,-34.9285,138.6007
136496,4,1,3079,"Brisbane","QLD",1959,"Townhouse",0,5435,-27.4698,153.0251
